run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_critical_20260813_0030__tm_20260821,cvae_critical_20260813_0030,critical,20260821,1,planned_repeatability_v1,completed,completed,high,60.294,False,0,0.659,1.381,9.882,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0030__tm_20260821\20260813_165032,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0030__tm_20260821\20260813_165032\metadata.json
cvae_critical_20260813_0030__tm_20260822,cvae_critical_20260813_0030,critical,20260822,2,planned_repeatability_v1,completed,completed,high,60.294,False,0,0.659,1.381,9.882,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0030__tm_20260822\20260813_165701,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0030__tm_20260822\20260813_165701\metadata.json
cvae_critical_20260813_0030__tm_20260823,cvae_critical_20260813_0030,critical,20260823,0,existing_validation_v2,completed,completed,high,60.931,False,0,0.611,1.244,9.644,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0030\20260813_152129,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0030\20260813_152129\metadata.json
cvae_critical_20260813_0046__tm_20260821,cvae_critical_20260813_0046,critical,20260821,0,existing_validation_v2,completed,completed,high,67.153,False,0,0.651,1.355,3.268,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0046\20260813_151821,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0046\20260813_151821\metadata.json
cvae_critical_20260813_0046__tm_20260822,cvae_critical_20260813_0046,critical,20260822,1,planned_repeatability_v1,completed,completed,high,67.153,False,0,0.651,1.355,3.268,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260822\20260813_164722,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260822\20260813_164722\metadata.json
cvae_critical_20260813_0046__tm_20260823,cvae_critical_20260813_0046,critical,20260823,2,planned_repeatability_v1,completed,completed,high,67.167,False,0,0.665,1.381,3.197,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260823\20260813_165307,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260823\20260813_165307\metadata.json
cvae_critical_20260813_0058__tm_20260821,cvae_critical_20260813_0058,critical,20260821,2,planned_repeatability_v1,completed,completed,high,67.743,False,0,0.354,0.649,3.759,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260821\20260813_165452,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260821\20260813_165452\metadata.json
cvae_critical_20260813_0058__tm_20260822,cvae_critical_20260813_0058,critical,20260822,0,existing_validation_v2,completed,completed,high,67.823,False,0,0.354,0.649,3.726,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0058\20260813_152055,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_critical_20260813_0058\20260813_152055\metadata.json
cvae_critical_20260813_0058__tm_20260823,cvae_critical_20260813_0058,critical,20260823,1,planned_repeatability_v1,completed,completed,high,59.548,False,0,0.719,1.605,5.982,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260823\20260813_164958,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260823\20260813_164958\metadata.json
cvae_high_20260813_0033__tm_20260821,cvae_high_20260813_0033,high,20260821,0,existing_validation_v2,completed,completed,critical,86.538,False,2,0.737,1.613,2.471,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0033\20260813_151804,F:\Carla\test\output\model_generated_validation\cvae_validation_v2\cvae_high_20260813_0033\20260813_151804\metadata.json
cvae_high_20260813_0033__tm_20260822,cvae_high_20260813_0033,high,20260822,1,planned_repeatability_v1,completed,completed,critical,86.714,False,2,0.722,1.581,2.471,completed,healthy,,,,,,,,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0033__tm_20260822\20260813_164706,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0033__tm_20260822\20260813_164706\metadata.json
