run_order,part_index,repeat_round,source_block_index,run_id,sample_id,target_risk_level,traffic_manager_seed,source,config_path,expected_run_root
1,1,1,1,cvae_high_20260813_0033__tm_20260822,cvae_high_20260813_0033,high,20260822,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_high_20260813_0033__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0033__tm_20260822
2,1,1,1,cvae_critical_20260813_0046__tm_20260822,cvae_critical_20260813_0046,critical,20260822,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_critical_20260813_0046__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260822
3,1,1,1,cvae_low_20260813_0001__tm_20260822,cvae_low_20260813_0001,low,20260822,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0001__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260822
4,1,1,1,cvae_medium_20260813_0082__tm_20260822,cvae_medium_20260813_0082,medium,20260822,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_medium_20260813_0082__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260822
5,2,1,2,cvae_medium_20260813_0061__tm_20260823,cvae_medium_20260813_0061,medium,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_medium_20260813_0061__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260823
6,2,1,2,cvae_low_20260813_0122__tm_20260823,cvae_low_20260813_0122,low,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0122__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260823
7,2,1,2,cvae_high_20260813_0074__tm_20260823,cvae_high_20260813_0074,high,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_high_20260813_0074__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260823
8,2,1,2,cvae_critical_20260813_0058__tm_20260823,cvae_critical_20260813_0058,critical,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_critical_20260813_0058__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260823
9,3,1,3,cvae_critical_20260813_0030__tm_20260821,cvae_critical_20260813_0030,critical,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_critical_20260813_0030__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0030__tm_20260821
10,3,1,3,cvae_medium_20260813_0103__tm_20260821,cvae_medium_20260813_0103,medium,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_medium_20260813_0103__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0103__tm_20260821
11,3,1,3,cvae_high_20260813_0043__tm_20260821,cvae_high_20260813_0043,high,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_high_20260813_0043__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0043__tm_20260821
12,3,1,3,cvae_low_20260813_0034__tm_20260821,cvae_low_20260813_0034,low,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0034__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260821
13,4,2,1,cvae_medium_20260813_0082__tm_20260823,cvae_medium_20260813_0082,medium,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_medium_20260813_0082__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0082__tm_20260823
14,4,2,1,cvae_low_20260813_0001__tm_20260823,cvae_low_20260813_0001,low,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0001__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0001__tm_20260823
15,4,2,1,cvae_critical_20260813_0046__tm_20260823,cvae_critical_20260813_0046,critical,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_critical_20260813_0046__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0046__tm_20260823
16,4,2,1,cvae_high_20260813_0033__tm_20260823,cvae_high_20260813_0033,high,20260823,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_high_20260813_0033__tm_20260823.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0033__tm_20260823
17,5,2,2,cvae_low_20260813_0122__tm_20260821,cvae_low_20260813_0122,low,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0122__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0122__tm_20260821
18,5,2,2,cvae_medium_20260813_0061__tm_20260821,cvae_medium_20260813_0061,medium,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_medium_20260813_0061__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_medium_20260813_0061__tm_20260821
19,5,2,2,cvae_critical_20260813_0058__tm_20260821,cvae_critical_20260813_0058,critical,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_critical_20260813_0058__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_critical_20260813_0058__tm_20260821
20,5,2,2,cvae_high_20260813_0074__tm_20260821,cvae_high_20260813_0074,high,20260821,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_high_20260813_0074__tm_20260821.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_high_20260813_0074__tm_20260821
21,6,2,3,cvae_low_20260813_0034__tm_20260822,cvae_low_20260813_0034,low,20260822,planned_repeatability_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\cvae_repeatability_v1\configs\cvae_low_20260813_0034__tm_20260822.json,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v1\cvae_low_20260813_0034__tm_20260822
