sample_id,target_risk_level,completed_runs,expected_runs,seeds,score_mean,score_std,score_min,score_max,score_range,modal_observed_level,level_consistency_rate,all_levels_equal,target_match_rate,collision_runs,collision_events
cvae_critical_20260813_0030,critical,3,3,"20260821,20260822,20260823",46.40966666666667,0.5781395448620802,45.747,46.811,1.064,medium,1.0,True,0.0,0,0
cvae_critical_20260813_0046,critical,3,3,"20260821,20260822,20260823",53.467999999999996,0.638304786132772,52.812,54.087,1.2750000000000057,high,1.0,True,0.0,0,0
cvae_critical_20260813_0058,critical,3,3,"20260821,20260822,20260823",47.104000000000006,0.3791213526036201,46.863,47.541,0.6779999999999973,medium,1.0,True,0.0,0,0
cvae_high_20260813_0033,high,3,3,"20260821,20260822,20260823",45.75566666666666,0.471052367930925,45.212,46.042,0.8299999999999983,medium,1.0,True,0.0,0,0
cvae_high_20260813_0043,high,3,3,"20260821,20260822,20260823",41.31166666666667,0.42030980637302956,40.827,41.576,0.7490000000000023,medium,1.0,True,0.0,0,0
cvae_high_20260813_0074,high,3,3,"20260821,20260822,20260823",42.207,0.014525839046332135,42.192,42.221,0.028999999999996362,medium,1.0,True,0.0,0,0
cvae_low_20260813_0001,low,3,3,"20260821,20260822,20260823",24.552333333333333,0.45528708891570036,24.283,25.078,0.7949999999999982,low,0.6666666666666666,False,0.6666666666666666,0,0
cvae_low_20260813_0034,low,3,3,"20260821,20260822,20260823",23.646666666666665,0.515272096404737,23.294,24.238,0.9439999999999991,low,1.0,True,1.0,0,0
cvae_low_20260813_0122,low,3,3,"20260821,20260822,20260823",23.668666666666667,0.37524436482555373,23.377,24.092,0.7149999999999999,low,1.0,True,1.0,0,0
cvae_medium_20260813_0061,medium,3,3,"20260821,20260822,20260823",27.050666666666668,0.5083997770783676,26.488,27.477,0.9890000000000008,medium,1.0,True,1.0,0,0
cvae_medium_20260813_0082,medium,3,3,"20260821,20260822,20260823",28.335333333333335,0.430713748716399,27.846,28.657,0.8109999999999999,medium,1.0,True,1.0,0,0
cvae_medium_20260813_0103,medium,3,3,"20260821,20260822,20260823",27.759666666666664,0.06310573138260345,27.708,27.83,0.12199999999999989,medium,1.0,True,1.0,0,0
