run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,acceptance_failures,runtime_verified,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path
cvae_critical_20260813_0030__tm_20260821__route_v4,cvae_critical_20260813_0030,critical,20260821,1,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,45.747,False,0,1.708,4.673,6.679,completed,healthy,completed,1.0,1.0,1.0,0.992,1.0,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260821__route_v4\20260814_185411,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260821__route_v4\20260814_185411\metadata.json
cvae_critical_20260813_0030__tm_20260822__route_v4,cvae_critical_20260813_0030,critical,20260822,2,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,46.671,False,0,1.735,4.152,6.377,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260822__route_v4\20260814_190553,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260822__route_v4\20260814_190553\metadata.json
cvae_critical_20260813_0030__tm_20260823__route_v4,cvae_critical_20260813_0030,critical,20260823,3,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,46.811,False,0,1.727,4.113,6.362,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260823__route_v4\20260814_190129,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0030__tm_20260823__route_v4\20260814_190129\metadata.json
cvae_critical_20260813_0046__tm_20260821__route_v4,cvae_critical_20260813_0046,critical,20260821,1,waypoint_controlled_repeatability_v4,completed,completed,,True,high,54.087,False,0,1.658,4.323,3.065,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260821__route_v4\20260814_190057,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260821__route_v4\20260814_190057\metadata.json
cvae_critical_20260813_0046__tm_20260822__route_v4,cvae_critical_20260813_0046,critical,20260822,2,waypoint_controlled_repeatability_v4,completed,completed,,True,high,53.505,False,0,1.559,4.631,3.327,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260822__route_v4\20260814_185629,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260822__route_v4\20260814_185629\metadata.json
cvae_critical_20260813_0046__tm_20260823__route_v4,cvae_critical_20260813_0046,critical,20260823,3,waypoint_controlled_repeatability_v4,completed,completed,,True,high,52.812,False,0,1.736,4.423,3.275,completed,healthy,completed,1.0,1.0,1.0,0.992,0.996,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260823__route_v4\20260814_190406,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0046__tm_20260823__route_v4\20260814_190406\metadata.json
cvae_critical_20260813_0058__tm_20260821__route_v4,cvae_critical_20260813_0058,critical,20260821,1,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,46.863,False,0,1.731,4.131,6.436,completed,healthy,completed,1.0,1.0,1.0,0.998,0.997,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260821__route_v4\20260814_190817,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260821__route_v4\20260814_190817\metadata.json
cvae_critical_20260813_0058__tm_20260822__route_v4,cvae_critical_20260813_0058,critical,20260822,2,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,47.541,False,0,1.648,4.091,6.125,completed,healthy,completed,1.0,1.0,1.0,0.992,0.996,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260822__route_v4\20260814_191016,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260822__route_v4\20260814_191016\metadata.json
cvae_critical_20260813_0058__tm_20260823__route_v4,cvae_critical_20260813_0058,critical,20260823,3,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,46.908,False,0,1.725,4.13,6.46,completed,healthy,completed,1.0,1.0,1.0,0.992,0.998,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260823__route_v4\20260814_185900,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_critical_20260813_0058__tm_20260823__route_v4\20260814_185900\metadata.json
cvae_high_20260813_0033__tm_20260821__route_v4,cvae_high_20260813_0033,high,20260821,1,waypoint_controlled_repeatability_v4,completed,completed,,True,medium,46.013,False,0,1.178,4.299,5.229,completed,healthy,completed,1.0,1.0,1.0,0.996,0.996,True,100,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0033__tm_20260821__route_v4\20260814_191042,F:\Carla\test\output\model_generated_validation\cvae_repeatability_v4\cvae_high_20260813_0033__tm_20260821__route_v4\20260814_191042\metadata.json
