sample_id,generator,target_risk_level,generator_target_cell,source_path,feature_01_weather_cloudiness,feature_02_weather_precipitation,feature_03_weather_precipitation_deposits,feature_04_weather_wind_intensity,feature_05_weather_fog_density,feature_06_weather_fog_distance,feature_07_weather_sun_altitude_angle,feature_08_weather_wetness,feature_09_lead_vehicle_initial_distance_m,feature_10_lead_vehicle_brake_trigger_seconds,feature_11_lead_vehicle_brake_intensity,feature_12_pedestrian_forward_distance_m,feature_13_pedestrian_roadside_offset_m,feature_14_pedestrian_trigger_seconds,feature_15_pedestrian_speed_mps,predicted_risk_mean,predicted_risk_std,predicted_risk_min,predicted_risk_max,robust_predicted_risk_score,bootstrap_top_k_frequency,nearest_observed_distance,nearest_collision_distance,nearest_non_collision_distance,collision_distance_margin,collision_affinity,collision_boundary_balance,collision_boundary_score,stable_high_score_base,high_uncertainty_base,collision_boundary_base
lhs_high_20260815_0001,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.969923076923077,0.9354125,0.9027,0.707063157894737,0.7745294117647058,0.23656140350877197,0.17781999999999998,0.6646285714285715,0.29117647058823526,0.33,0.7666666666666667,0.1764814814814815,0.27275000000000005,0.2285964912280702,0.38050000000000006,50.13982252714832,3.628072064306922,43.824290760582016,59.10711805820106,48.32578649499486,0.1,0.0935415539009354,0.13024539513130312,0.0935415539009354,-0.036703841230367726,0.2919229398438776,0.26947353157944437,0.2804737163243347,0.47360026041666664,0.6160481770833334,0.3647786458333333
lhs_high_20260815_0002,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.9072769230769231,0.8051999999999999,0.6318625000000001,0.7894947368421052,0.7781529411764706,0.24424561403508774,0.5257999999999999,0.7318714285714285,0.32299999999999995,0.2316666666666667,0.7022222222222222,0.4756666666666667,0.2762500000000001,0.4266666666666667,0.4406666666666667,44.71865325355456,2.4971613306441314,40.48064514550266,51.93108302292764,43.47007258823249,0.0,0.08856775243459268,0.15615161187365614,0.08856775243459268,-0.06758385943906346,0.2285116783586235,0.08941134272822754,0.14293892398897293,0.07158203125,0.21484375,0.09238281250000001
lhs_high_20260815_0003,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.9445076923076923,0.89635,0.7643375000000001,0.5590315789473684,0.8258588235294116,0.10514035087719299,0.5710000000000001,0.8643714285714286,0.2656176470588235,0.18777777777777782,0.768888888888889,0.46114814814814814,0.62425,0.41508771929824567,0.4386666666666666,48.577001697990994,2.0753437778121984,43.60081950793648,54.423589679894135,47.5393298090849,0.0,0.09359782248545233,0.15456627870345077,0.09359782248545233,-0.06096845621799844,0.23196213571064214,0.1132491329297339,0.1620787177323398,0.29078776041666665,0.18277994791666669,0.1083984375
lhs_high_20260815_0004,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.7817076923076924,0.84135,0.627775,0.6749894736842105,0.892964705882353,0.06196491228070176,0.33305999999999997,0.7125285714285714,0.4687941176470588,0.41166666666666674,0.6955555555555555,0.5605185185185185,0.25525,0.12719298245614033,0.49733333333333335,47.2092511109283,3.9129914647264554,41.112577412698414,57.750925729276894,45.25275537856507,0.0,0.11501761510811674,0.13729825821025216,0.11501761510811674,-0.022280643102135414,0.27309402017476125,0.451129660079379,0.350999732893276,0.16591796874999998,0.6201171875,0.4828125
lhs_high_20260815_0005,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.8234153846153847,0.913625,0.9475374999999999,0.5772947368421053,0.8764,0.1467719298245614,0.23567999999999997,0.7947142857142856,0.22020588235294114,0.1651388888888889,0.9444444444444444,0.16822222222222227,0.6027499999999999,0.4240350877192982,0.6615000000000001,53.82410588356247,3.4994694525361125,46.77922672398592,60.95962817460318,52.07437115729441,0.52,0.10531547786736324,0.14206198314072313,0.10531547786736324,-0.03674650527335989,0.26106844211958463,0.2690631075354998,0.26503563216320025,0.6886067708333333,0.6389973958333334,0.35690104166666664
lhs_high_20260815_0006,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.9943846153846154,0.8580375,0.9407500000000001,0.7967263157894736,0.7250235294117646,0.18268421052631578,0.41120000000000007,0.8006,0.4657647058823529,0.40402777777777776,0.9333333333333332,0.5012592592592592,0.4810000000000001,0.425438596491228,0.5308333333333333,49.707531916624966,2.6066730842161574,45.17622764153436,58.45867436640209,48.40419537451689,0.1,0.09818647971534954,0.1195584848810498,0.09818647971534954,-0.02137200516570026,0.32295655042503496,0.46601456206553965,0.3879464594664063,0.47724609375,0.33837890625,0.4695963541666667
lhs_high_20260815_0007,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.7504615384615385,0.7972625000000001,0.6700875,0.5641789473684211,0.6662941176470589,0.1066140350877193,0.46421999999999997,0.8422714285714287,0.3658823529411765,0.4079166666666667,0.8244444444444445,0.27074074074074067,0.688,0.31350877192982457,0.5086666666666666,44.66728392879747,1.882747836488187,41.434143490740716,50.76842224029979,43.72591001055337,0.0,0.06470089793126026,0.12860631255340127,0.06470089793126026,-0.06390541462214101,0.2964814968653007,0.10196850979261962,0.17387287429740136,0.07750651041666666,0.07698567708333333,0.079296875
lhs_high_20260815_0008,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.9122307692307693,0.849375,0.7467,0.5512315789473684,0.8449411764705882,0.1308421052631579,0.41924,0.7154285714285714,0.4492647058823529,0.368888888888889,0.6755555555555555,0.165037037037037,0.5992500000000001,0.36666666666666664,0.5618333333333334,44.99719621508094,1.7377616709274037,41.44382995105821,48.97436155643736,44.12831537961724,0.0,0.06367317442651003,0.14578811712413792,0.06367317442651003,-0.08211494269762788,0.2520324541078192,0.05320267169749188,0.11579637262458395,0.09482421875,0.056640625,0.03203125
lhs_high_20260815_0009,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.7298615384615385,0.9249625,0.9450875,0.6499789473684211,0.7311529411764706,0.19724561403508772,0.35007999999999995,0.7939999999999999,0.407264705882353,0.2984722222222222,0.76,0.472,0.5920000000000001,0.2107017543859649,0.4243333333333334,49.59667563165301,2.9097040084904435,43.814481970899436,57.078877571428556,48.14182362740779,0.02,0.11170151231682399,0.11170151231682399,0.11627957722426668,0.004578064907442697,0.3478575708544899,0.849118602919828,0.543481678236764,0.38603515624999996,0.4296875,0.7155598958333332
lhs_high_20260815_0010,lhs,high,lhs__high,/home/zhaozirong/software/output/carla-0.9.16/feedback_candidate_scoring_v1/20260815_214410/candidate_pools/lhs_high.jsonl,0.8431384615384616,0.8154625,0.8626250000000001,0.5734105263157895,0.8788352941176469,0.16082456140350876,0.40015999999999996,0.7446142857142858,0.4744117647058823,0.2879166666666667,0.6866666666666666,0.382074074074074,0.34325000000000006,0.19894736842105265,0.6445,48.919425285877004,4.0304032946088,42.723809115520304,58.18390756349206,46.9042236385726,0.0,0.0938403978020847,0.13690184016509363,0.0938403978020847,-0.043061442363008934,0.2741193625949116,0.21472064933632284,0.24260891890455788,0.2611653645833333,0.6715494791666666,0.31204427083333336
