generator,target_risk_level,selected_scenarios,completed_runs,accepted_runs,score_mean,score_std,target_match_rate,observed_distribution,collision_runs
lhs,low,3,9,9,24.97511111111111,0.7139398511857362,0.6666666666666666,"{""medium"": 3, ""low"": 6}",0
lhs,medium,3,9,9,30.59044444444444,1.8389539221464415,1.0,"{""medium"": 9}",0
lhs,high,3,9,9,48.934,3.209734763185271,0.6666666666666666,"{""high"": 6, ""medium"": 3}",0
lhs,critical,3,9,9,50.538555555555554,1.6574618480609984,0.0,"{""high"": 6, ""medium"": 3}",0
gmm,low,3,9,9,24.848333333333333,0.7098441730408165,0.5555555555555556,"{""medium"": 4, ""low"": 5}",0
gmm,medium,3,9,9,30.158222222222225,2.3580115445952434,1.0,"{""medium"": 9}",0
gmm,high,3,9,9,55.92644444444444,17.292985941640552,0.0,"{""medium"": 6, ""critical"": 3}",3
gmm,critical,3,9,9,70.4328888888889,18.119373419384875,0.6666666666666666,"{""critical"": 6, ""medium"": 3}",6
cvae,low,3,9,9,24.461000000000002,0.9187303739400368,0.8888888888888888,"{""medium"": 1, ""low"": 8}",0
cvae,medium,3,9,9,27.49211111111111,1.1225129670124572,1.0,"{""medium"": 9}",0
cvae,high,3,9,9,43.08555555555555,2.2157212770964163,0.0,"{""medium"": 9}",0
cvae,critical,3,9,9,49.35133333333333,2.90515726768793,0.0,"{""medium"": 6, ""high"": 3}",0
