sample_id,target_risk_level,completed_runs,expected_runs,seeds,score_mean,score_std,score_min,score_max,score_range,modal_observed_level,level_consistency_rate,all_levels_equal,target_match_rate,collision_runs,collision_events
cvae_critical_20260813_0030,critical,3,3,"20260821,20260822,20260823",46.976333333333336,0.8245619038818934,46.29,47.891,1.600999999999999,medium,1.0,True,0.0,0,0
cvae_critical_20260813_0042,critical,3,3,"20260821,20260822,20260823",48.01533333333333,1.1302797588797793,47.197,49.305,2.107999999999997,medium,1.0,True,0.0,0,0
cvae_critical_20260813_0046,critical,3,3,"20260821,20260822,20260823",53.06233333333333,0.08220300075625882,52.977,53.141,0.16400000000000148,high,1.0,True,0.0,0,0
cvae_high_20260813_0033,high,3,3,"20260821,20260822,20260823",45.74666666666666,0.4374669511326932,45.242,46.018,0.7760000000000034,medium,1.0,True,0.0,0,0
cvae_high_20260813_0043,high,3,3,"20260821,20260822,20260823",40.77,0.775626843269367,40.013,41.563,1.5500000000000043,medium,1.0,True,0.0,0,0
cvae_high_20260813_0067,high,3,3,"20260821,20260822,20260823",42.74,0.02511971337416194,42.711,42.755,0.044000000000004036,medium,1.0,True,0.0,0,0
cvae_low_20260813_0001,low,3,3,"20260821,20260822,20260823",25.207666666666668,1.2082319037888931,24.256,26.567,2.311,low,0.6666666666666666,False,0.6666666666666666,0,0
cvae_low_20260813_0034,low,3,3,"20260821,20260822,20260823",24.413666666666668,0.4834297604961187,24.002,24.946,0.9440000000000026,low,1.0,True,1.0,0,0
cvae_low_20260813_0115,low,3,3,"20260821,20260822,20260823",23.761666666666667,0.33091590069583177,23.393,24.033,0.6400000000000006,low,1.0,True,1.0,0,0
cvae_medium_20260813_0061,medium,3,3,"20260821,20260822,20260823",26.521333333333335,0.9443571005363033,25.469,27.295,1.8260000000000005,medium,1.0,True,1.0,0,0
cvae_medium_20260813_0082,medium,3,3,"20260821,20260822,20260823",28.422666666666668,1.1825702234257938,27.059,29.166,2.1069999999999993,medium,1.0,True,1.0,0,0
cvae_medium_20260813_0103,medium,3,3,"20260821,20260822,20260823",27.532333333333337,0.1868618027670016,27.319,27.667,0.34800000000000253,medium,1.0,True,1.0,0,0
gmm_critical_20260813_0004,critical,3,3,"20260821,20260822,20260823",85.42566666666666,0.012662279942147121,85.416,85.44,0.02400000000000091,critical,1.0,True,1.0,3,18
gmm_critical_20260813_0067,critical,3,3,"20260821,20260822,20260823",79.342,0.2217363299055828,79.135,79.576,0.4409999999999883,critical,1.0,True,1.0,3,3
gmm_critical_20260813_0072,critical,3,3,"20260821,20260822,20260823",46.531000000000006,0.1163486140871474,46.402,46.628,0.2259999999999991,medium,1.0,True,0.0,0,0
gmm_high_20260813_0005,high,3,3,"20260821,20260822,20260823",44.718999999999994,0.08664294547163043,44.657,44.818,0.16100000000000136,medium,1.0,True,0.0,0,0
gmm_high_20260813_0049,high,3,3,"20260821,20260822,20260823",44.082,0.49665581643629264,43.509,44.389,0.8800000000000026,medium,1.0,True,0.0,0,0
gmm_high_20260813_0079,high,3,3,"20260821,20260822,20260823",78.97833333333334,0.06627468093724276,78.907,79.038,0.13100000000000023,critical,1.0,True,0.0,3,18
gmm_low_20260813_0012,low,3,3,"20260821,20260822,20260823",24.410666666666668,0.8785672047904665,23.401,25.001,1.6000000000000014,low,0.6666666666666666,False,0.6666666666666666,0,0
gmm_low_20260813_0036,low,3,3,"20260821,20260822,20260823",25.197000000000003,0.7352904188142261,24.591,26.015,1.4239999999999995,low,0.6666666666666666,False,0.6666666666666666,0,0
gmm_low_20260813_0072,low,3,3,"20260821,20260822,20260823",24.93733333333334,0.4705532205110649,24.397,25.257,0.860000000000003,medium,0.6666666666666666,False,0.3333333333333333,0,0
gmm_medium_20260813_0010,medium,3,3,"20260821,20260822,20260823",28.83366666666667,0.364308019858654,28.413,29.044,0.6310000000000002,medium,1.0,True,1.0,0,0
gmm_medium_20260813_0077,medium,3,3,"20260821,20260822,20260823",28.415000000000003,0.08496469855181156,28.362,28.513,0.15100000000000335,medium,1.0,True,1.0,0,0
gmm_medium_20260813_0102,medium,3,3,"20260821,20260822,20260823",33.226,0.8911436472309061,32.709,34.255,1.5459999999999994,medium,1.0,True,1.0,0,0
lhs_critical_20260813_0036,critical,3,3,"20260821,20260822,20260823",52.37566666666667,0.04687572221665942,52.341,52.429,0.08800000000000097,high,1.0,True,0.0,0,0
lhs_critical_20260813_0055,critical,3,3,"20260821,20260822,20260823",50.272,0.31181244362597305,49.945,50.566,0.6210000000000022,high,0.6666666666666666,False,0.0,0,0
lhs_critical_20260813_0101,critical,3,3,"20260821,20260822,20260823",48.967999999999996,1.42136694769507,47.348,50.006,2.6580000000000013,medium,0.6666666666666666,False,0.0,0,0
lhs_high_20260813_0024,high,3,3,"20260821,20260822,20260823",50.31866666666667,0.06903863652574324,50.251,50.389,0.13800000000000523,high,1.0,True,1.0,0,0
lhs_high_20260813_0077,high,3,3,"20260821,20260822,20260823",44.736,0.11585767130406029,44.647,44.867,0.21999999999999886,medium,1.0,True,0.0,0,0
