run_order,group_index,part_index,run_id,sample_id,generator,target_risk_level,selection_index,repeat_round,traffic_manager_seed,source,config_path,expected_run_root
1,1,1,gmm_high_20260813_0079__tm_20260821__generator_compare_v1,gmm_high_20260813_0079,gmm,high,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_high_20260813_0079__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_high_20260813_0079__tm_20260821__generator_compare_v1
2,1,1,cvae_low_20260813_0001__tm_20260823__generator_compare_v1,cvae_low_20260813_0001,cvae,low,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_low_20260813_0001__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_low_20260813_0001__tm_20260823__generator_compare_v1
3,1,1,cvae_critical_20260813_0046__tm_20260823__generator_compare_v1,cvae_critical_20260813_0046,cvae,critical,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_critical_20260813_0046__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260823__generator_compare_v1
4,1,1,lhs_medium_20260813_0026__tm_20260822__generator_compare_v1,lhs_medium_20260813_0026,lhs,medium,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_medium_20260813_0026__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_medium_20260813_0026__tm_20260822__generator_compare_v1
5,1,2,lhs_critical_20260813_0036__tm_20260821__generator_compare_v1,lhs_critical_20260813_0036,lhs,critical,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_critical_20260813_0036__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_critical_20260813_0036__tm_20260821__generator_compare_v1
6,1,2,lhs_low_20260813_0010__tm_20260821__generator_compare_v1,lhs_low_20260813_0010,lhs,low,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\lhs_low_20260813_0010__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\lhs_low_20260813_0010__tm_20260821__generator_compare_v1
7,1,2,gmm_medium_20260813_0102__tm_20260823__generator_compare_v1,gmm_medium_20260813_0102,gmm,medium,1,3,20260823,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_medium_20260813_0102__tm_20260823__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_medium_20260813_0102__tm_20260823__generator_compare_v1
8,1,2,cvae_high_20260813_0043__tm_20260822__generator_compare_v1,cvae_high_20260813_0043,cvae,high,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_high_20260813_0043__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0043__tm_20260822__generator_compare_v1
9,1,3,gmm_critical_20260813_0004__tm_20260822__generator_compare_v1,gmm_critical_20260813_0004,gmm,critical,3,2,20260822,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\gmm_critical_20260813_0004__tm_20260822__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\gmm_critical_20260813_0004__tm_20260822__generator_compare_v1
10,1,3,cvae_medium_20260813_0061__tm_20260821__generator_compare_v1,cvae_medium_20260813_0061,cvae,medium,2,1,20260821,controlled_generator_comparison_v1,D:\Xx\竞赛\大创实施ing\data\scenarios\generator_comparison_v1\configs\cvae_medium_20260813_0061__tm_20260821__generator_compare_v1.json,F:\Carla\test\output\generator_comparison_v1\cvae_medium_20260813_0061__tm_20260821__generator_compare_v1
