sample_id,generator,target_risk_level,generator_target_cell,repeat_count,traffic_manager_seeds,observed_risk_score_mean,observed_risk_score_std,observed_risk_score_min,observed_risk_score_max,observed_risk_level_mode,observed_risk_level_consistency,collision_run_rate,collision_event_total,minimum_ttc_seconds_min,minimum_lead_gap_m_min,minimum_pedestrian_distance_m_min,parameter_weather_cloudiness,parameter_weather_precipitation,parameter_weather_precipitation_deposits,parameter_weather_wind_intensity,parameter_weather_fog_density,parameter_weather_fog_distance,parameter_weather_sun_altitude_angle,parameter_weather_wetness,parameter_lead_vehicle_initial_distance_m,parameter_lead_vehicle_brake_trigger_seconds,parameter_lead_vehicle_brake_intensity,parameter_pedestrian_forward_distance_m,parameter_pedestrian_roadside_offset_m,parameter_pedestrian_trigger_seconds,parameter_pedestrian_speed_mps,feature_01_weather_cloudiness,feature_02_weather_precipitation,feature_03_weather_precipitation_deposits,feature_04_weather_wind_intensity,feature_05_weather_fog_density,feature_06_weather_fog_distance,feature_07_weather_sun_altitude_angle,feature_08_weather_wetness,feature_09_lead_vehicle_initial_distance_m,feature_10_lead_vehicle_brake_trigger_seconds,feature_11_lead_vehicle_brake_intensity,feature_12_pedestrian_forward_distance_m,feature_13_pedestrian_roadside_offset_m,feature_14_pedestrian_trigger_seconds,feature_15_pedestrian_speed_mps
cvae_critical_20260813_0030,cvae,critical,cvae__critical,3,"20260821,20260822,20260823",46.97633333333333,0.8245619038818934,46.29,47.891,medium,1.0,0.0,0,1.625,3.949,6.116,94.764,92.943,91.4,88.92,93.722,5.03,-21.993,93.09,15.791,3.436,0.98,26.544,6.786,2.582,6.616,0.9194461538461538,0.9117875,0.8925000000000001,0.8833684210526316,0.9261411764705881,0.0356140350877193,0.16014000000000003,0.9012857142857144,0.11150000000000002,0.08833333333333335,0.9555555555555555,0.3164444444444445,0.4464999999999999,0.1371929824561403,0.7693333333333333
cvae_critical_20260813_0042,cvae,critical,cvae__critical,3,"20260821,20260822,20260823",48.01533333333333,1.1302797588797793,47.197,49.305,medium,1.0,0.0,0,1.509,3.886,5.913,95.475,93.942,92.017,84.799,94.828,5.159,-26.099,93.627,15.929,3.477,0.98,26.685,6.101,2.478,7.033,0.9303846153846153,0.924275,0.9002125,0.8399894736842106,0.9391529411764706,0.037877192982456134,0.07801999999999999,0.9089571428571428,0.11555882352941177,0.09402777777777778,0.9555555555555555,0.3216666666666666,0.27525,0.11894736842105265,0.8388333333333334
cvae_critical_20260813_0046,cvae,critical,cvae__critical,3,"20260821,20260822,20260823",53.062333333333335,0.08220300075625882,52.977,53.141,high,1.0,0.0,0,1.723,4.335,3.255,96.359,93.973,93.516,80.143,94.795,5.431,-21.544,93.957,15.881,3.552,0.975,23.906,5.434,2.453,6.921,0.9439846153846153,0.9246624999999999,0.91895,0.7909789473684211,0.938764705882353,0.04264912280701755,0.16912,0.9136714285714285,0.11414705882352942,0.10444444444444448,0.9444444444444444,0.2187407407407407,0.10850000000000004,0.11456140350877189,0.8201666666666667
cvae_high_20260813_0033,cvae,high,cvae__high,3,"20260821,20260822,20260823",45.74666666666666,0.4374669511326931,45.242,46.018,medium,1.0,0.0,0,1.175,4.297,5.229,93.539,89.683,88.866,60.785,77.304,15.357,-19.179,86.685,22.217,5.402,0.926,22.577,6.81,3.037,5.53,0.9006000000000001,0.8710375000000001,0.860825,0.5872105263157894,0.7329882352941177,0.2167894736842105,0.21642000000000003,0.8097857142857143,0.3005,0.3613888888888889,0.8355555555555556,0.1695185185185186,0.4524999999999999,0.21701754385964908,0.5883333333333334
cvae_high_20260813_0043,cvae,high,cvae__high,3,"20260821,20260822,20260823",40.77,0.775626843269367,40.013,41.563,medium,1.0,0.0,0,1.344,4.005,9.545,90.373,82.568,82.963,58.997,80.368,15.03,-6.494,84.352,24.254,5.626,0.888,23.785,7.804,3.918,4.936,0.8518923076923077,0.7821,0.7870375,0.5683894736842106,0.769035294117647,0.21105263157894735,0.47012,0.776457142857143,0.3604117647058824,0.39250000000000007,0.7511111111111111,0.21425925925925926,0.7010000000000001,0.3715789473684211,0.48933333333333334
cvae_high_20260813_0067,cvae,high,cvae__high,3,"20260821,20260822,20260823",42.74,0.02511971337416194,42.711,42.755,medium,1.0,0.0,0,1.181,4.504,9.068,94.445,85.601,87.932,54.351,78.136,12.513,-12.84,85.068,22.906,5.354,0.906,21.262,7.532,3.581,5.095,0.9145384615384614,0.8200125,0.8491500000000001,0.5194842105263158,0.7427764705882353,0.16689473684210526,0.3432,0.7866857142857142,0.3207647058823529,0.35472222222222227,0.7911111111111111,0.12081481481481483,0.633,0.31245614035087715,0.5158333333333333
cvae_low_20260813_0001,cvae,low,cvae__low,3,"20260821,20260822,20260823",25.207666666666668,1.2082319037888931,24.256,26.567,low,0.6666666666666666,0.0,0,1.529,3.912,10.675,53.232,41.623,39.258,20.565,23.056,42.36,7.383,42.02,41.842,9.167,0.763,34.834,7.559,5.514,2.64,0.2804923076923077,0.27028749999999996,0.24072500000000002,0.1638421052631579,0.09477647058823531,0.6905263157894737,0.7476600000000001,0.17171428571428576,0.8777058823529411,0.8843055555555556,0.47333333333333333,0.6234814814814816,0.63975,0.6515789473684211,0.10666666666666669
cvae_low_20260813_0034,cvae,low,cvae__low,3,"20260821,20260822,20260823",24.413666666666668,0.4834297604961187,24.002,24.946,low,1.0,0.0,0,1.688,4.051,11.283,58.826,35.961,32.797,25.753,20.925,50.491,9.918,46.553,38.288,8.659,0.625,36.682,8.509,6.313,2.551,0.3665538461538462,0.19951249999999998,0.15996249999999995,0.21845263157894737,0.06970588235294119,0.8331754385964912,0.79836,0.23647142857142853,0.7731764705882352,0.8137500000000001,0.16666666666666657,0.691925925925926,0.8772500000000001,0.7917543859649122,0.09183333333333336
cvae_low_20260813_0115,cvae,low,cvae__low,3,"20260821,20260822,20260823",23.761666666666667,0.33091590069583177,23.393,24.033,low,1.0,0.0,0,1.672,4.437,11.054,51.233,38.689,36.015,22.663,21.8,43.526,8.906,43.892,41.368,9.161,0.68,37.603,7.853,6.168,2.586,0.2497384615384615,0.2336125,0.20018750000000002,0.1859263157894737,0.08,0.7109824561403509,0.7781199999999999,0.1984571428571429,0.863764705882353,0.8834722222222222,0.2888888888888889,0.7260370370370371,0.7132499999999999,0.7663157894736843,0.09766666666666664
cvae_medium_20260813_0061,cvae,medium,cvae__medium,3,"20260821,20260822,20260823",26.521333333333335,0.9443571005363033,25.469,27.295,medium,1.0,0.0,0,1.592,4.269,8.784,79.275,63.108,55.157,49.805,58.915,26.391,7.734,78.091,31.123,6.553,0.738,37.225,7.425,5.297,3.493,0.6811538461538462,0.5388499999999999,0.4394625,0.4716315789473684,0.5166470588235293,0.41036842105263155,0.75468,0.6870142857142856,0.5624411764705882,0.52125,0.4177777777777777,0.7120370370370371,0.60625,0.6135087719298246,0.24883333333333332
