model,repeat_index,split_seed,mae,rmse,r2,spearman,mean_bias,high_or_critical_recall,high_or_critical_precision,top_k_observed_recall,target_mean_ordering_strict
random_forest,0,20260815,5.4050347106058325,9.983717003557961,0.6135776436156837,0.9093951093951094,0.12418509261597184,0.875,0.5833333333333334,0.6666666666666666,True
ridge,0,20260815,9.439609215760829,13.136621166349427,0.33097080148866476,0.7976833976833978,-0.45386343898655923,0.375,0.3333333333333333,0.4444444444444444,True
random_forest,1,20260816,5.38050069674701,9.647359870282889,0.6391766133228437,0.9163449163449164,0.10914289109346756,0.625,0.45454545454545453,0.5555555555555556,True
ridge,1,20260816,9.92644123298677,13.816466307425344,0.25993189968552954,0.7626769626769628,0.24141497431285033,0.5,0.3333333333333333,0.4444444444444444,True
random_forest,2,20260817,6.172747055102395,10.73533204997197,0.55320460920388,0.8710424710424711,0.4856473213428377,0.75,0.5,0.4444444444444444,True
ridge,2,20260817,10.237378070277908,13.823653658450903,0.25916172985892316,0.7891891891891892,0.33592200277704926,0.375,0.3,0.3333333333333333,True
random_forest,3,20260818,5.779424494448449,10.528587725967938,0.57024794656349,0.8862290862290864,0.1066776849001409,0.75,0.5,0.5555555555555556,True
ridge,3,20260818,10.352469377181375,13.966631576572818,0.24375751052498607,0.7938223938223938,-0.5560807794407733,0.25,0.25,0.4444444444444444,True
random_forest,4,20260819,5.521879677456891,10.125848312475041,0.6024968680408078,0.8921492921492923,-0.16686221711494198,0.625,0.5,0.5555555555555556,True
ridge,4,20260819,7.764365216684864,11.572161837876356,0.4808334325046062,0.862805662805663,-0.8926643498476453,0.375,0.3,0.4444444444444444,True
random_forest,5,20260820,5.4598214871399176,9.990915061751828,0.6130202373296416,0.900900900900901,-0.22486447476974203,0.625,0.4166666666666667,0.5555555555555556,True
ridge,5,20260820,9.383853164430484,12.559588864202155,0.38845479334968536,0.8182754182754184,-0.4582185844577247,0.625,0.45454545454545453,0.4444444444444444,True
random_forest,6,20260821,5.854911280716107,9.894542301990258,0.6204498744132005,0.9081081081081083,0.33660129303728614,0.625,0.45454545454545453,0.6666666666666666,True
ridge,6,20260821,10.10647588765066,13.876658994253551,0.25346950586651096,0.8316602316602317,-0.8692953851713491,0.375,0.3,0.4444444444444444,True
random_forest,7,20260822,5.549643750223796,10.25701068806094,0.5921322788185257,0.8954954954954955,0.09931315839055838,0.875,0.5384615384615384,0.5555555555555556,True
ridge,7,20260822,8.936328537471232,12.982807530880505,0.3465460946893879,0.8213642213642214,-0.22555937418343694,0.375,0.3,0.3333333333333333,True
random_forest,8,20260823,5.52844121204995,10.329406545019845,0.5863543497750867,0.8967824967824969,0.11417313533036665,0.75,0.5,0.5555555555555556,True
ridge,8,20260823,8.773309114328558,13.10024341848519,0.33467100373633474,0.8172458172458172,0.42516939287569205,0.25,0.2222222222222222,0.3333333333333333,True
random_forest,9,20260824,5.536430568097186,9.86442630140071,0.6227568302911093,0.9021879021879023,0.03022897209973478,0.75,0.5,0.5555555555555556,True
ridge,9,20260824,9.673402190076791,13.49698812385597,0.2937613979942385,0.792020592020592,-1.738807053855431,0.5,0.36363636363636365,0.4444444444444444,True
random_forest,10,20260825,5.998551114160783,10.513954841791916,0.5714416759075117,0.8759330759330759,0.3670458429232708,0.75,0.46153846153846156,0.4444444444444444,True
ridge,10,20260825,9.822743246744702,14.303748513388735,0.20680959517560793,0.7562419562419562,1.2215136876818598,0.5,0.36363636363636365,0.4444444444444444,True
random_forest,11,20260826,6.136785424178953,10.754517484627408,0.5516062192627736,0.8617760617760618,0.2817779966029297,0.625,0.4166666666666667,0.4444444444444444,True
ridge,11,20260826,10.520838348778927,14.412946711094284,0.1946525606593026,0.7781209781209781,0.8570219002837571,0.5,0.36363636363636365,0.4444444444444444,True
random_forest,12,20260827,5.577719754479314,10.109090605100079,0.6038114698344659,0.9032175032175033,0.16256258474627028,0.75,0.5,0.5555555555555556,True
ridge,12,20260827,8.974037349510587,12.747424148699803,0.37002604728996824,0.8277992277992279,-1.3734892130325314,0.5,0.4444444444444444,0.5555555555555556,True
random_forest,13,20260828,5.621594459926644,10.356659574525722,0.584168751117661,0.8790218790218791,0.17415859286315222,0.875,0.5384615384615384,0.4444444444444444,True
