generator,target_risk_level,independent_scenario_count,observed_score_mean,predicted_score_mean,observed_score_std
cvae,critical,3,49.351333333333336,57.653859973838905,3.255536975676981
cvae,high,3,43.08555555555555,47.46344739873604,2.5062640043018694
cvae,low,3,24.461000000000002,24.903700274691364,0.7241611238759896
cvae,medium,3,27.49211111111111,28.764169165784832,0.9513046207611331
gmm,critical,3,70.43288888888888,55.766957252057615,20.921949463909208
gmm,high,3,55.92644444444445,48.73778868283362,19.96606191163543
gmm,low,3,24.848333333333333,25.43963328762494,0.4006504433764886
gmm,medium,3,30.15822222222222,30.27257640035272,2.6650076575527533
lhs,critical,3,50.538555555555554,57.4942081240447,1.719400164570749
lhs,high,3,48.934,49.258204184891234,3.7050877332542527
lhs,low,3,24.975111111111108,25.30243447310407,0.7737901189264115
lhs,medium,3,30.590444444444444,31.33354550925925,2.0931174340185983
