library_id,scenario_hash,canonical_sample_id,aliases,generators,target_risk_levels,observed_risk_level,risk_score_mean,risk_score_std,collision_observed,verification_level,verification_basis,evidence_granularity,carla_versions,accepted_run_count,expected_run_count,quality_tier,quality_status,executability_score,evidence_completeness_score,repeatability_score,dangerousness_score,diversity_score,quality_flags
slv1_009f3375a1f7a48e,009f3375a1f7a48e40983e816306a5790e99136cfac2365b7857a17f8073e25c,lhs_high_20260817_0223,lhs_high_20260817_0223,lhs,high,medium,49.22233333333333,0.0200333056017554,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9979966694398245,0.4922233333333333,0.4565660329459943,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_01bf003597beeb8c,01bf003597beeb8c65814411316c19bca44b0da4d1f1ddbb1536968778c5d1f2,cvae_critical_20260818_0181,cvae_critical_20260818_0181,cvae,critical,critical,80.20166666666667,0.5123537189611592,True,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9487646281038841,0.8020166666666667,0.15947128265959976,aggregate_evidence_only;carla_version_not_recorded;collision_observed;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded
slv1_05820741b96d57ae,05820741b96d57ae6445d911846382193bf798c6fd7827ec8a2c63a040ebd69b,cvae_critical_20260816_0052,cvae_critical_20260816_0052,cvae,critical,high,53.14666666666667,0.05513921774321292,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9944860782256787,0.5314666666666666,0.057497550586431564,aggregate_evidence_only;carla_version_not_recorded;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_06fa8282b0772d5e,06fa8282b0772d5ee046526683fa072f46fa8b888170cac7e91d6bc6f0639efd,cvae_high_20260815_0076,cvae_high_20260815_0076,cvae,high,medium,48.626666666666665,0.027682726262659368,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9972317273737341,0.4862666666666666,0.12562527290920988,aggregate_evidence_only;carla_version_not_recorded;low_relative_diversity;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_084a736f071c52b9,084a736f071c52b9abbc09d78cb6ccc2c36e309f113ae35acef24f6ab55ec3df,gmm_high_20260816_0040,gmm_high_20260816_0040,gmm,high,medium,43.379,0.015524174696262976,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9984475825303737,0.43378999999999995,0.2853166670185158,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_0da6d364b2858936,0da6d364b285893616a0da94d8109a210d129ef0dca339d0160f9eb15ef951f5,gmm_critical_20260813_0067,gmm_critical_20260813_0067,gmm,critical,critical,79.342,0.2217363299055828,True,strictly_accepted,direct_run_evidence,run_level,unknown,3,3,silver,partial,1.0,0.7777777777777778,0.9778263670094417,0.79342,0.35606616808879077,carla_version_not_recorded;collision_observed;historical_runtime_paths;realism_not_assessed
slv1_0debe298209ffb86,0debe298209ffb86991cfdcf302c21ef7e4d11aa2e11796e9497c2a26b3db340,gmm_medium_20260813_0077,gmm_medium_20260813_0077,gmm,medium,medium,28.415000000000003,0.08496469855181156,False,strictly_accepted,direct_run_evidence,run_level,unknown,3,3,silver,partial,1.0,0.7777777777777778,0.9915035301448188,0.28415,0.6914748008480317,carla_version_not_recorded;historical_runtime_paths;realism_not_assessed
slv1_1056fc1a0c38486c,1056fc1a0c38486c4af3ab486d802e1779fc874505e2db1e52709991faf68005,gmm_critical_20260816_0119,gmm_critical_20260816_0119,gmm,critical,medium,49.50233333333333,0.00472581562625237,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.9995274184373748,0.4950233333333333,0.4397800283615538,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_1067c835d061142c,1067c835d061142c7f8dd112be4a406effb875d72371e28ef82b64b1e966eabb,lhs_high_20260815_0205,lhs_high_20260815_0205,lhs,high,medium,48.94566666666666,0.10334569818494009,False,strictly_accepted,inherited_batch_acceptance,aggregate,unknown,3,3,bronze,partial,1.0,0.6666666666666666,0.989665430181506,0.4894566666666666,0.6780946140678044,aggregate_evidence_only;carla_version_not_recorded;realism_not_assessed;run_level_evidence_not_embedded;target_condition_mismatch
slv1_110c96c990e15e6e,110c96c990e15e6efafdb906972d81c5ce9c1a27a5e847ef913be6da915b5a7f,lhs_high_20260813_0106,lhs_high_20260813_0106,lhs,high,high,51.74733333333334,0.09151138362702939,False,strictly_accepted,direct_run_evidence,run_level,unknown,3,3,silver,partial,1.0,0.7777777777777778,0.990848861637297,0.5174733333333333,0.4565660329459943,carla_version_not_recorded;historical_runtime_paths;realism_not_assessed
