"year","id","tier","theme","title","venue","doi","landing","pdf_url","local_file","status"
"2020","2003.01197","A","adversarial","Learning to Collide: An Adaptive Safety-Critical Scenarios Generating Method","arXiv","","https://arxiv.org/abs/2003.01197","https://arxiv.org/pdf/2003.01197","2020_2003.01197_Learning_to_Collide_An_Adaptive_Safety_Critical_Scenarios_Generating_Method.pdf","downloaded"
"2021","2101.06549","A","adversarial","AdvSim: Generating Safety-Critical Scenarios for Self-Driving Vehicles","arXiv","","https://arxiv.org/abs/2101.06549","https://arxiv.org/pdf/2101.06549","2021_2101.06549_AdvSim_Generating_Safety_Critical_Scenarios_for_Self_Driving_Vehicles.pdf","downloaded"
"2021","2103.07403","A","adversarial","Generating and Characterizing Scenarios for Safety Testing of Autonomous Vehicles","arXiv","","https://arxiv.org/abs/2103.07403","https://arxiv.org/pdf/2103.07403","2021_2103.07403_Generating_and_Characterizing_Scenarios_for_Safety_Testing_of_Autonomous_Vehicles.pdf","downloaded"
"2021","2106.04066","A","adversarial","Semantically Adversarial Scenario Generation with Explicit Knowledge Guidance","arXiv","","https://arxiv.org/abs/2106.04066","https://arxiv.org/pdf/2106.04066","2021_2106.04066_Semantically_Adversarial_Scenario_Generation_with_Explicit_Knowledge_Guidance.pdf","downloaded"
"2022","2202.02215","A","survey","A Survey on Safety-Critical Driving Scenario Generation -- A Methodological Perspective","arXiv","","https://arxiv.org/abs/2202.02215","https://arxiv.org/pdf/2202.02215","2022_2202.02215_A_Survey_on_Safety_Critical_Driving_Scenario_Generation_A_Methodological_Perspective.pdf","downloaded"
"2022","2210.06609","A","traffic-generation","TrafficGen: Learning to Generate Diverse and Realistic Traffic Scenarios","arXiv","","https://arxiv.org/abs/2210.06609","https://arxiv.org/pdf/2210.06609","2022_2210.06609_TrafficGen_Learning_to_Generate_Diverse_and_Realistic_Traffic_Scenarios.pdf","downloaded"
"2023","2304.10850","A","survey","1001 Ways of Scenario Generation for Testing of Self-driving Cars: A Survey","arXiv","","https://arxiv.org/abs/2304.10850","https://arxiv.org/pdf/2304.10850","2023_2304.10850_1001_Ways_of_Scenario_Generation_for_Testing_of_Self_driving_Cars_A_Survey.pdf","downloaded"
"2023","2306.14131","A","adversarial","Safety-Critical Scenario Generation Via Reinforcement Learning Based Editing","arXiv","","https://arxiv.org/abs/2306.14131","https://arxiv.org/pdf/2306.14131","2023_2306.14131_Safety_Critical_Scenario_Generation_Via_Reinforcement_Learning_Based_Editing.pdf","downloaded"
"2023","2312.13303","A","traffic-generation","RealGen: Retrieval Augmented Generation for Controllable Traffic Scenarios","arXiv","","https://arxiv.org/abs/2312.13303","https://arxiv.org/pdf/2312.13303","2023_2312.13303_RealGen_Retrieval_Augmented_Generation_for_Controllable_Traffic_Scenarios.pdf","downloaded"
"2024","2405.14062","A","knowledge-llm","ChatScene: Knowledge-Enabled Safety-Critical Scenario Generation for Autonomous Vehicles","CVPR 2024","10.1109/CVPR52733.2024.01464","https://arxiv.org/abs/2405.14062","https://arxiv.org/pdf/2405.14062","2024_2405.14062_ChatScene_Knowledge_Enabled_Safety_Critical_Scenario_Generation_for_Autonomous_Vehicles.pdf","downloaded"
"2024","2406.10857","A","knowledge-llm","LMM-enhanced Safety-Critical Scenario Generation for Autonomous Driving System Testing From Non-Accident Traffic Videos","arXiv","","https://arxiv.org/abs/2406.10857","https://arxiv.org/pdf/2406.10857","2024_2406.10857_LMM_enhanced_Safety_Critical_Scenario_Generation_for_Autonomous_Driving_System_Testing_Fro.pdf","downloaded"
"2024","2408.03200","A","adversarial","Adversarial Safety-Critical Scenario Generation using Naturalistic Human Driving Priors","arXiv","","https://arxiv.org/abs/2408.03200","https://arxiv.org/pdf/2408.03200","2024_2408.03200_Adversarial_Safety_Critical_Scenario_Generation_using_Naturalistic_Human_Driving_Priors.pdf","downloaded"
"2024","2409.09040","A","knowledge-llm","ChatSUMO: Large Language Model for Automating Traffic Scenario Generation in Simulation of Urban MObility","arXiv","","https://arxiv.org/abs/2409.09040","https://arxiv.org/pdf/2409.09040","2024_2409.09040_ChatSUMO_Large_Language_Model_for_Automating_Traffic_Scenario_Generation_in_Simulation_of.pdf","downloaded"
"2024","2409.10066","A","knowledge-llm","LeGEND: A Top-Down Approach to Scenario Generation of Autonomous Driving Systems Assisted by Large Language Models","arXiv","","https://arxiv.org/abs/2409.10066","https://arxiv.org/pdf/2409.10066","2024_2409.10066_LeGEND_A_Top_Down_Approach_to_Scenario_Generation_of_Autonomous_Driving_Systems_Assisted_b.pdf","downloaded"
"2024","2409.10320","A","adversarial","SEAL: Towards Safe Autonomous Driving via Skill-Enabled Adversary Learning for Closed-Loop Scenario Generation","arXiv","","https://arxiv.org/abs/2409.10320","https://arxiv.org/pdf/2409.10320","2024_2409.10320_SEAL_Towards_Safe_Autonomous_Driving_via_Skill_Enabled_Adversary_Learning_for_Closed_Loop.pdf","downloaded"
"2025","2501.15850","A","knowledge-llm","LLM-attacker: Enhancing Closed-loop Adversarial Scenario Generation for Autonomous Driving with Large Language Models","arXiv","10.1109/TITS.2025.3578383","https://arxiv.org/abs/2501.15850","https://arxiv.org/pdf/2501.15850","2025_2501.15850_LLM_attacker_Enhancing_Closed_loop_Adversarial_Scenario_Generation_for_Autonomous_Driving.pdf","downloaded"
"2025","2503.02911","A","knowledge-llm","Text2Scenario: Text-Driven Scenario Generation for Autonomous Driving Test","arXiv","","https://arxiv.org/abs/2503.02911","https://arxiv.org/pdf/2503.02911","2025_2503.02911_Text2Scenario_Text_Driven_Scenario_Generation_for_Autonomous_Driving_Test.pdf","downloaded"
"2025","2505.00972","A","knowledge-llm","Seeking to Collide: Online Safety-Critical Scenario Generation for Autonomous Driving with Retrieval Augmented Large Language Models","arXiv","","https://arxiv.org/abs/2505.00972","https://arxiv.org/pdf/2505.00972","2025_2505.00972_Seeking_to_Collide_Online_Safety_Critical_Scenario_Generation_for_Autonomous_Driving_with.pdf","downloaded"
"2025","2505.11247","A","diffusion","LD-Scene: LLM-Guided Diffusion for Controllable Generation of Adversarial Safety-Critical Driving Scenarios","arXiv","","https://arxiv.org/abs/2505.11247","https://arxiv.org/pdf/2505.11247","2025_2505.11247_LD_Scene_LLM_Guided_Diffusion_for_Controllable_Generation_of_Adversarial_Safety_Critical_D.pdf","downloaded"
"2025","DiffScene","A","diffusion","DiffScene: Diffusion-Based Safety-Critical Scenario Generation for Autonomous Vehicles","AAAI 2025","10.1609/aaai.v39i8.32951","https://ojs.aaai.org/index.php/AAAI/article/view/32951","https://ojs.aaai.org/index.php/AAAI/article/download/32951/35106","2025_DiffScene_DiffScene_Diffusion_Based_Safety_Critical_Scenario_Generation_for_Autonomous_Vehicles.pdf","downloaded"
"2025","2505.18341","A","knowledge-llm","CrashAgent: Crash Scenario Generation via Multi-modal Reasoning","arXiv","","https://arxiv.org/abs/2505.18341","https://arxiv.org/pdf/2505.18341","2025_2505.18341_CrashAgent_Crash_Scenario_Generation_via_Multi_modal_Reasoning.pdf","downloaded"
"2025","2505.00515","A","diffusion","Safety-Critical Traffic Simulation with Guided Latent Diffusion Model","arXiv","","https://arxiv.org/abs/2505.00515","https://arxiv.org/pdf/2505.00515","2025_2505.00515_Safety_Critical_Traffic_Simulation_with_Guided_Latent_Diffusion_Model.pdf","downloaded"
"2025","2505.14881","A","multimodal","Multi-modal Traffic Scenario Generation for Autonomous Driving System Testing","arXiv","","https://arxiv.org/abs/2505.14881","https://arxiv.org/pdf/2505.14881","2025_2505.14881_Multi_modal_Traffic_Scenario_Generation_for_Autonomous_Driving_System_Testing.pdf","downloaded"
"2025","2503.15049","A","traffic-generation","HAD-Gen: Human-like and Diverse Driving Behavior Modeling for Controllable Scenario Generation","arXiv","","https://arxiv.org/abs/2503.15049","https://arxiv.org/pdf/2503.15049","2025_2503.15049_HAD_Gen_Human_like_and_Diverse_Driving_Behavior_Modeling_for_Controllable_Scenario_Generat.pdf","downloaded"
